n,(n * (n - 1)) / 2,n * n,comparison,swaps
116,6670,13456,3278,3163
117,6786,13689,3534,3418
118,6903,13924,3453,3336
119,7021,14161,3856,3738
120,7140,14400,3512,3393
121,7260,14641,3867,3747
122,7381,14884,3461,3340
123,7503,15129,3646,3524
124,7626,15376,3826,3703
125,7750,15625,4076,3952
126,7875,15876,4128,4003
127,8001,16129,3863,3737
128,8128,16384,4214,4087
129,8256,16641,4302,4174
130,8385,16900,4281,4152
131,8515,17161,4406,4276
132,8646,17424,4629,4498
133,8778,17689,4291,4159
134,8911,17956,4799,4666
135,9045,18225,4621,4487
136,9180,18496,4465,4330
137,9316,18769,4850,4714
138,9453,19044,4608,4471
139,9591,19321,4690,4552
140,9730,19600,4582,4443
141,9870,19881,5140,5000
142,10011,20164,4991,4850
143,10153,20449,5805,5663
144,10296,20736,5141,4998
145,10440,21025,5643,5499
146,10585,21316,4775,4630
147,10731,21609,5639,5493
148,10878,21904,5454,5307
149,11026,22201,6007,5859
150,11175,22500,6113,5964
151,11325,22801,4994,4844
152,11476,23104,5448,5297
153,11628,23409,6426,6274
154,11781,23716,6025,5872
155,11935,24025,6196,6042
156,12090,24336,6445,6290
157,12246,24649,6329,6173
158,12403,24964,6518,6361
159,12561,25281,6606,6448
160,12720,25600,6214,6055
161,12880,25921,6742,6582
162,13041,26244,6680,6519
163,13203,26569,6702,6540
164,13366,26896,7411,7248
165,13530,27225,7219,7055
166,13695,27556,7105,6940
167,13861,27889,7597,7431
168,14028,28224,7268,7101
169,14196,28561,7350,7182
170,14365,28900,7016,6847
171,14535,29241,8093,7923
172,14706,29584,7305,7134
173,14878,29929,7654,7482
174,15051,30276,7674,7501
175,15225,30625,7690,7516
176,15400,30976,7481,7306
177,15576,31329,8148,7972
178,15753,31684,8093,7916
179,15931,32041,7912,7734
180,16110,32400,8713,8534
181,16290,32761,8531,8351
182,16471,33124,9173,8992
183,16653,33489,8875,8693
184,16836,33856,8443,8260
185,17020,34225,8019,7835
186,17205,34596,8575,8390
187,17391,34969,8680,8494
188,17578,35344,8435,8248
189,17766,35721,7997,7809
190,17955,36100,8679,8490
191,18145,36481,8676,8486
192,18336,36864,9111,8920
193,18528,37249,9362,9170
194,18721,37636,9637,9444
195,18915,38025,9647,9453
196,19110,38416,9962,9767
197,19306,38809,9645,9449
198,19503,39204,9411,9214
199,19701,39601,9665,9467
200,19900,40000,9559,9360
201,20100,40401,9614,9414
202,20301,40804,10572,10371
203,20503,41209,10405,10203
204,20706,41616,11581,11378
205,20910,42025,11119,10915
206,21115,42436,10841,10636
207,21321,42849,10467,10261
208,21528,43264,11210,11003
209,21736,43681,10381,10173
210,21945,44100,11847,11638
211,22155,44521,11982,11772
212,22366,44944,11264,11053
213,22578,45369,12303,12091
214,22791,45796,10647,10434
215,23005,46225,12551,12337
216,23220,46656,11419,11204
217,23436,47089,12169,11953
218,23653,47524,11241,11024
219,23871,47961,11646,11428
220,24090,48400,12940,12721
221,24310,48841,11960,11740
222,24531,49284,11541,11320
