n,n(n-1)/2,n*n,comparisons,swaps
715,255255,511225,255045,128787
716,255970,512656,255409,130865
717,256686,514089,256455,128529
718,257403,515524,257052,130529
719,258121,516961,257341,126722
720,258840,518400,258405,124742
721,259560,519841,259125,130555
722,260281,521284,259420,129755
723,261003,522729,260625,133134
724,261726,524176,261555,128733
725,262450,525625,262297,129403
726,263175,527076,263139,126541
727,263901,528529,263856,134239
728,264628,529984,264523,139960
729,265356,531441,265005,133039
730,266085,532900,265679,131625
731,266815,534361,266350,133786
732,267546,535824,266465,132576
733,268278,537289,268047,132077
734,269011,538756,268891,137600
735,269745,540225,267975,134468
736,270480,541696,269102,135652
737,271216,543169,269200,131381
738,271953,544644,271800,141550
739,272691,546121,272613,128914
740,273430,547600,273427,142626
741,274170,549081,273999,138788
742,274911,550564,274896,136186
743,275653,552049,275647,144654
744,276396,553536,275900,136673
745,277140,555025,275865,135459
746,277885,556516,277765,140354
747,278631,558009,276740,141279
748,279378,559504,279078,139076
749,280126,561001,279565,143127
750,280875,562500,280134,142492
751,281625,564001,280805,137432
752,282376,565504,281673,142878
753,283128,567009,281475,135808
754,283881,568516,282846,135234
755,284635,570025,284200,146072
756,285390,571536,285219,146774
757,286146,573049,283065,135938
758,286903,574564,285472,142568
759,287661,576081,287255,135450
760,288420,577600,288267,138235
761,289180,579121,285525,146676
762,289941,580644,289770,149372
763,290703,582169,289218,148855
764,291466,583696,291295,143071
765,292230,585225,292077,148837
766,292995,586756,292929,140943
767,293761,588289,293265,142339
768,294528,589824,293667,150224
769,295296,591361,294735,152932
770,296065,592900,295162,144229
771,296835,594441,287655,149049
772,297606,595984,295191,149132
773,298378,597529,297850,146934
774,299151,599076,299123,150480
775,299925,600625,298494,151144
776,300700,602176,300204,143055
777,301476,603729,300201,153338
778,302253,605284,302208,149895
779,303031,606841,302128,150028
780,303810,608400,303314,147977
781,304590,609961,303687,152710
782,305371,611524,304290,147785
783,306153,613089,306132,152738
784,306936,614656,306233,149318
785,307720,616225,307444,151795
786,308505,617796,307910,149912
787,309291,619369,308115,156246
788,310078,620944,309868,160112
789,310866,622521,309591,154802
790,311655,624100,309639,155590
791,312445,625681,311220,165633
792,313236,627264,312740,152416
793,314028,628849,313677,156476
794,314821,630436,313443,162244
795,315615,632025,314985,155645
796,316410,633616,315464,154799
797,317206,635209,316906,159896
798,318003,636804,316922,161486
799,318801,638401,318273,160050
800,319600,640000,319480,155492
801,320400,641601,319872,156426
802,321201,643204,320795,163711
803,322003,644809,319153,158579
804,322806,646416,322371,163887
805,323610,648025,323420,165917
806,324415,649636,323469,163564
807,325221,651249,324518,161113
808,326028,652864,325532,163103
809,326836,654481,326170,161901
810,327645,656100,327509,170866
811,328455,657721,328224,174016
812,329266,659344,329130,162811
813,330078,660969,329973,168971
814,330891,662596,330681,168548
815,331705,664225,331405,170857
816,332520,665856,332024,161206
817,333336,667489,330851,166490
818,334153,669124,333412,167025
819,334971,670761,334025,164474
820,335790,672400,335049,170055
821,336610,674041,336420,163425
822,337431,675684,337080,169031
823,338253,677329,337977,170710
824,339076,678976,338641,164436
825,339900,680625,339669,170056
826,340725,682276,338379,175457
827,341551,683929,340731,172764
828,342378,685584,341297,174845
829,343206,687241,342216,159378
830,344035,688900,343782,175200
831,344865,690561,341037,172391
832,345696,692224,345371,175903
833,346528,693889,345825,175255
834,347361,695556,344586,173605
835,348195,697225,345494,163917
836,349030,698896,346950,173296
837,349866,700569,349086,174687
838,350703,702244,350073,173161
839,351541,703921,351310,179528
840,352380,705600,352227,174353
841,353220,707281,353049,178261
842,354061,708964,353358,168429
843,354903,710649,354888,174708
844,355746,712336,355340,180034
845,356590,714025,354879,180152
846,357435,715716,357182,180249
847,358281,717409,358071,180991
848,359128,719104,358567,187218
849,359976,720801,358800,176934
850,360825,722500,359340,177322
851,361675,724201,361045,179731
852,362526,725904,362355,177186
853,363378,727609,362943,190882
854,364231,729316,363601,183648
855,365085,731025,364490,185440
856,365940,732736,365709,181527
857,366796,734449,366130,173168
858,367653,736164,366833,181935
859,368511,737881,368483,193499
860,369370,739600,368704,185472
861,370230,741321,368745,184449
862,371091,743044,370626,181998
863,371953,744769,371763,186853
864,372816,746496,369890,193660
865,373680,748225,371969,194600
866,374545,749956,373114,185636
867,375411,751689,375086,184073
868,376278,753424,375872,192666
869,377146,755161,376795,192449
870,378015,756900,377924,188755
871,378885,758641,377400,191183
872,379756,760384,377803,188811
873,380628,762129,380193,199687
874,381501,763876,380835,185672
875,382375,765625,382284,190105
876,383250,767376,382997,188531
877,384126,769129,382415,188033
878,385003,770884,384727,192145
879,385881,772641,385556,181409
880,386760,774400,386732,192603
